source,target
35,1033
35,103515
35,1050679
35,1103960
35,1103985
35,1109199
35,1112911
35,1113438
35,1113831
35,1114331
35,1117476
35,1119505
35,1119708
35,1120431
35,1123756
35,1125386
35,1127430
35,1127913
35,1128204
35,1128227
35,1128314
35,1128453
35,1128945
35,1128959
35,1128985
35,1129018
35,1129027
35,1129573
35,1129683
35,1129778
35,1130847
35,1130856
35,1131116
35,1131360
35,1131557
35,1131752
35,1133196
35,1133338
35,1136814
35,1137466
35,1152421
35,1152508
35,1153065
35,1153280
35,1153577
35,1153853
35,1153943
35,1154176
35,1154459
35,116552
35,12576
35,128540
35,132806
35,135130
35,141342
35,141347
35,148170
35,15670
35,1688
35,178727
35,18582
35,190697
35,190706
35,1956
35,197054
35,198443
35,198653
35,206371
35,210871
35,229635
35,231249
35,248425
35,254923
35,259701
35,259702
35,263279
35,263498
35,265203
35,273152
35,28290
35,286500
35,287787
35,28851
35,289779
35,289780
35,289781
35,307015
35,335733
35,33904
35,33907
35,35061
35,38205
35,387795
35,415693
35,41714
35,427606
35,44368
35,45599
35,46079
35,486840
35,48766
35,503883
35,503893
35,513189
35,54129
35,54131
35,56119
35,561238
35,568857
35,573964
35,573978
35,574009
35,574264
35,574462
35,575077
35,575292
35,575331
35,576725
35,576795
35,577227
35,578780
35,579008
35,592973
35,593091
35,593105
35,593240
35,593260
35,593813
35,594047
35,594543
35,594649
35,594900
35,608326
35,634902
35,634904
35,634938
35,634975
35,640617
35,646809
35,646837
35,647408
35,647447
35,66556
35,66563
35,66805
35,69284
35,69296
35,694759
35,735303
35,78511
35,787016
35,801170
35,81722
35,82098
35,84021
35,85352
35,86359
35,8865
35,887
35,97645
35,98698
40,1109017
40,116552
114,1103315
114,1105394
114,1106112
114,1106172
114,1106406
114,1107455
114,1111052
114,1114125
114,1117942
114,1118245
114,1118332
114,1120170
114,1126029
114,124064
114,128
114,130
114,136665
114,191404
114,193742
114,23258
114,28227
114,28287
114,28350
114,28387
114,28471
114,28485
114,341188
114,38480
114,39403
114,55968
114,58540
114,6155
114,6170
114,6196
114,6220
114,64484
114,7432
114,755217
114,8213
114,91975
114,976334
117,1109581
117,149669
117,17476
117,189708
117,206259
117,28202
117,28278
117,28387
117,28471
117,32872
117,33013
117,341188
117,38480
117,39403
117,6170
117,6214
117,75674
128,1114125
128,20526
128,39403
128,91975
130,13960
130,345340
130,39403
288,1118092
288,36167
463,58454
887,1105033
887,1111304
887,1112911
887,1113614
887,114308
887,12576
887,134128
887,161221
887,170798
887,17476
887,19045
887,20972
887,265203
887,28456
887,299195
887,299197
887,334153
887,35490
887,38205
887,595056
887,6151
