2022-11-26 03:37:19,603 : [INFO]  Failed to extract font properties from /usr/share/fonts/truetype/noto/NotoColorEmoji.ttf: In FT2Font: Can not load face.  Unknown file format.
2022-11-26 03:37:19,732 : [INFO]  generated new fontManager
2022-11-26 03:37:22,238 : [WARNING]  ####################################### New Training Session #######################################
2022-11-26 03:37:36,263 : [WARNING]  ####################################### New Training Session #######################################
2022-11-26 03:38:33,196 : [WARNING]  ####################################### New Training Session #######################################
2022-11-26 03:39:44,196 : [WARNING]  ####################################### New Training Session #######################################
2022-11-26 03:42:48,844 : [WARNING]  ####################################### New Training Session #######################################
2022-11-26 03:43:25,626 : [WARNING]  ####################################### New Training Session #######################################
2022-12-04 18:43:37,141 : [WARNING]  ####################################### New Training Session #######################################
2022-12-04 19:14:09,104 : [WARNING]  ####################################### New Training Session #######################################
2022-12-04 19:28:51,212 : [WARNING]  ####################################### New Training Session #######################################
2022-12-04 20:05:36,335 : [WARNING]  ####################################### New Training Session #######################################
2022-12-05 16:28:43,738 : [WARNING]  ####################################### New Training Session #######################################
2022-12-05 16:28:43,739 : [INFO]  Server started , graph ID 2, number of clients 2, number of rounds 4
2022-12-05 17:11:29,322 : [WARNING]  ####################################### New Training Session #######################################
2022-12-05 17:11:29,322 : [INFO]  Server started , graph ID 1, number of clients 2, number of rounds 4
2022-12-05 17:20:54,396 : [WARNING]  ####################################### New Training Session #######################################
2022-12-05 17:20:54,396 : [INFO]  Server started , graph ID 1, number of clients 2, number of rounds 4
2022-12-05 17:36:35,083 : [WARNING]  ####################################### New Training Session #######################################
2022-12-05 17:36:35,084 : [INFO]  Server started , graph ID 1, number of clients 2, number of rounds 4
