source,target,weight
0,0,1
2,2,1
2,2,1
4,4,1
4,4,1
2,2,1
7,0,1
8,7,1
2,2,1
2,2,1
9,8,1
4,4,1
2,2,1
2,2,1
10,9,1
11,10,1
12,11,1
4,4,1
13,12,1
14,13,1
12,11,1
14,13,1
14,13,1
15,14,1
12,11,1
16,15,1
17,16,1
4,4,1
4,4,1
18,17,1
11,10,1
19,18,1
20,19,1
21,20,1
17,22,1
11,10,1
4,4,1
23,23,1
4,4,1
24,24,1
12,11,1
4,4,1
2,2,1
4,4,1
4,4,1
11,10,1
12,11,1
18,17,1
11,10,1
2,2,1
8,7,1
4,4,1
4,4,1
16,22,1
32,32,1
4,4,1
8,7,1
4,4,1
16,22,1
24,24,1
4,4,1
16,22,1
4,4,1
16,22,1
16,22,1
12,11,1
24,24,1
4,4,1
16,22,1
14,13,1
4,4,1
19,33,1
14,13,1
37,37,1
14,13,1
4,4,1
37,37,1
4,4,1
37,37,1
4,4,1
38,33,1
14,13,1
16,22,1
16,22,1
4,4,1
14,13,1
8,7,1
12,11,1
16,22,1
14,13,1
14,13,1
16,22,1
39,38,1
40,17,1
16,22,1
41,39,1
42,40,1
43,41,1
16,22,1
12,11,1
42,40,1
16,22,1
45,22,1
16,22,1
16,22,1
16,22,1
16,22,1
16,22,1
16,22,1
12,11,1
47,44,1
48,45,1
48,45,1
16,22,1
50,47,1
16,22,1
47,44,1
50,47,1
16,22,1
12,11,1
48,45,1
51,48,1
51,48,1
54,50,1
16,22,1
48,45,1
55,51,1
16,22,1
48,45,1
16,22,1
16,22,1
16,22,1
48,45,1
8,7,1
47,44,1
57,17,1
16,22,1
16,22,1
48,45,1
59,54,1
48,45,1
48,45,1
18,17,1
48,45,1
59,54,1
60,55,1
59,54,1
17,57,1
48,45,1
59,54,1
57,17,1
48,45,1
63,13,1
59,54,1
64,60,1
64,60,1
66,62,1
67,9,1
68,22,1
69,63,1
59,54,1
70,64,1
71,54,1
59,54,1
59,54,1
59,54,1
59,54,1
8,66,1
74,68,1
75,69,1
73,70,1
73,7,1
75,69,1
59,54,1
75,69,1
74,68,1
59,54,1
77,58,1
78,18,1
75,69,1
79,41,1
74,68,1
74,68,1
77,58,1
80,71,1
77,58,1
59,54,1
75,69,1
59,54,1
59,54,1
59,54,1
59,54,1
75,69,1
50,72,1
59,54,1
75,69,1
59,54,1
59,54,1
75,69,1
75,69,1
85,74,1
50,72,1
75,69,1
86,61,1
77,58,1
75,69,1
75,69,1
88,76,1
88,76,1
75,69,1
50,72,1
75,69,1
89,77,1
88,76,1
92,79,1
75,69,1
93,80,1
59,54,1
75,69,1
75,69,1
59,54,1
88,76,1
86,61,1
75,69,1
75,69,1
88,76,1
75,69,1
88,76,1
75,69,1
95,66,1
95,66,1
75,69,1
66,62,1
96,83,1
66,62,1
75,69,1
88,76,1
97,84,1
59,54,1
98,85,1
88,76,1
95,66,1
66,62,1
98,85,1
95,66,1
88,76,1
75,69,1
59,54,1
93,80,1
75,69,1
88,76,1
75,69,1
66,62,1
68,81,1
59,54,1
99,86,1
99,86,1
75,69,1
96,83,1
88,76,1
59,54,1
75,69,1
75,69,1
100,87,1
101,88,1
88,76,1
101,88,1
88,76,1
59,54,1
88,76,1
88,76,1
59,54,1
50,72,1
88,76,1
102,79,1
88,76,1
50,72,1
88,76,1
103,89,1
102,79,1
88,76,1
100,87,1
88,76,1
105,91,1
75,69,1
88,76,1
59,54,1
75,69,1
88,76,1
107,92,1
88,76,1
80,93,1
75,69,1
75,69,1
108,94,1
107,92,1
102,79,1
88,76,1
109,25,1
75,69,1
75,69,1
88,76,1
18,17,1
18,17,1
111,95,1
102,79,1
17,96,1
111,95,1
18,17,1
88,76,1
75,69,1
108,94,1
59,54,1
75,69,1
75,69,1
112,70,1
86,57,1
75,69,1
88,76,1
75,69,1
113,62,1
114,97,1
75,69,1
18,17,1
88,76,1
14,13,1
88,76,1
88,76,1
88,76,1
14,13,1
115,98,1
88,76,1
117,99,1
117,99,1
88,76,1
118,100,1
88,76,1
88,76,1
85,74,1
119,102,1
102,79,1
88,76,1
102,79,1
117,99,1
88,76,1
88,76,1
102,79,1
88,76,1
102,79,1
102,79,1
102,79,1
118,100,1
102,79,1
88,76,1
50,72,1
66,103,1
120,34,1
88,76,1
66,103,1
121,70,1
118,100,1
122,18,1
12,11,1
66,103,1
50,72,1
124,105,1
66,103,1
124,105,1
118,100,1
59,54,1
88,76,1
125,98,1
66,103,1
67,68,1
88,76,1
126,106,1
66,62,1
66,62,1
12,11,1
72,108,1
128,75,1
124,105,1
129,109,1
124,105,1
124,105,1
130,75,1
59,54,1
131,110,1
124,105,1
39,111,1
133,16,1
124,105,1
102,79,1
50,72,1
134,113,1
124,105,1
118,100,1
17,114,1
124,105,1
22,114,1
124,105,1
134,113,1
118,100,1
59,54,1
135,51,1
124,105,1
135,51,1
118,100,1
134,113,1
124,105,1
102,79,1
134,113,1
136,115,1
137,114,1
118,100,1
139,55,1
50,72,1
140,114,1
124,105,1
50,72,1
59,54,1
118,100,1
50,72,1
95,109,1
50,72,1
142,109,1
24,24,1
142,109,1
102,79,1
137,114,1
102,79,1
24,24,1
137,114,1
143,114,1
12,11,1
102,79,1
144,117,1
59,54,1
59,54,1
145,56,1
145,56,1
86,57,1
12,11,1
148,114,1
145,56,1
145,56,1
136,115,1
120,34,1
140,114,1
140,114,1
150,88,1
140,114,1
118,100,1
145,56,1
